Equip Type ID	Equip Type	Equip ID	Equip Name	Transmog ID	Defense	Rare	File Path
0	Head	2	Elmo de Couro	1	2	0	pl001_0000
0	Head	15	Elmo de Cota de Malha	15	2	0	pl014_0000
0	Head	1	Elmo do Caçador	2	6	0	pl002_0000
0	Head	5	Elmo Ósseo	5	6	0	pl003_0000
0	Head	6	Elmo de Liga Leve	6	8	1	pl004_0000
0	Head	9	Elmo de Vespoidea	9	8	0	pl007_0000
0	Head	4	Elmo de Jagras	4	8	0	pl008_0000
0	Head	10	Adorno de Kulu	10	10	0	pl009_0000
0	Head	11	Capuz de Pukei	11	12	1	pl010_0000
0	Head	13	Elmo de Barroth	13	14	1	pl012_0000
0	Head	12	Elmo de Jyura	12	14	1	pl011_0000
0	Head	14	Elmo de Kadachi	14	16	1	pl013_0000
0	Head	25	Elmo de Metal Denso	24	18	2	pl025_0000
0	Head	18	Elmo de Chifrotauro	17	18	2	pl017_0000
0	Head	168	Óculos de Shamos	161	22	2	pl058_0000
0	Head	3	Elmo de Anja	3	20	2	pl020_0000
0	Head	21	Elmo de Rathian	20	22	2	pl021_0000
0	Head	23	Máscara de Tzitzi	22	18	2	pl023_0000
0	Head	24	Chapéu de Lumu	23	20	2	pl024_0000
0	Head	22	Máscara de Girros	21	20	2	pl022_0000
0	Head	28	Elmo de Baan	27	24	2	pl028_0000
0	Head	20	Vértice de Besouro-rei	19	22	2	pl019_0000 (Male Only)
0	Head	169	Vértice de Borboleta	164	22	2	pl019_0000 (Female Only)
0	Head	31	Elmo de Lingote	30	28	3	pl031_0000
0	Head	27	Elmo de Legiana	26	30	3	pl027_0000
0	Head	29	Elmo de Odogaron	28	30	3	pl029_0000
0	Head	33	Elmo de Rathalos	32	30	3	pl033_0000
0	Head	34	Elmo de Diablos	33	32	3	pl034_0000
0	Head	35	Chifre de Kirin	34	34	3	pl035_0000
0	Head	26	Cérebro Putrefato	25	32	3	pl026_0000
0	Head	36	Chapéu de Brigada	35	28	3	pl036_0000
0	Head	37	Pena Pulverizadora	36	32	3	pl037_0000
0	Head	39	Elmo de Couro<ICON ALPHA>	37	32	4	pl001_0000
0	Head	40	Elmo de Couro<ICON BETA>	38	32	4	pl001_0000
0	Head	147	Elmo de Cota de Malha<ICON ALPHA>	39	32	4	pl014_0000
0	Head	148	Elmo de Cota de Malha<ICON BETA>	40	32	4	pl014_0000
0	Head	41	Elmo do Caçador<ICON ALPHA>	41	36	4	pl002_0000
0	Head	42	Elmo do Caçador<ICON BETA>	42	36	4	pl002_0010
0	Head	43	Elmo Ósseo<ICON ALPHA>	43	36	4	pl003_0000
0	Head	44	Elmo Ósseo<ICON BETA>	44	36	4	pl003_0000
0	Head	45	Elmo de Liga Leve<ICON ALPHA>	45	36	4	pl004_0000
