Equip Type ID	Equip Type	Equip ID	Equip Name	File Path
0	Helmet	1	Chapéu de Couro Felyno	otomo/equip/ot001/helm
0	Helmet	28	Elmo Ósseo Felyno	otomo/equip/ot028/helm
0	Helmet	29	Elmo de Liga Leve Felyno	otomo/equip/ot029/helm
0	Helmet	2	Elmo de Jagras Felyno	otomo/equip/ot002/helm
0	Helmet	3	Turbante de Kulu Felyno	otomo/equip/ot003/helm
0	Helmet	4	Capelo de Pukei Felyno	otomo/equip/ot004/helm
0	Helmet	5	Elmo de Barroth Felyno	otomo/equip/ot005/helm
0	Helmet	6	Elmo de Jyura Felyno	otomo/equip/ot006/helm
0	Helmet	7	Capelo de Kadachi Felyno	otomo/equip/ot007/helm
0	Helmet	8	Elmo de Anja Felyno	otomo/equip/ot008/helm
0	Helmet	11	Chapéu de Lumu Felyno	otomo/equip/ot011/helm
0	Helmet	9	Elmo de Rathian Felyno	otomo/equip/ot009/helm
0	Helmet	13	Elmo de Baan Felyno	otomo/equip/ot013/helm
0	Helmet	30	Touca de Joaninha Felyna	otomo/equip/ot030/helm
0	Helmet	12	Elmo de Legiana Felyno	otomo/equip/ot012/helm
0	Helmet	14	Elmo de Odogaron Felyno	otomo/equip/ot014/helm
0	Helmet	16	Elmo de Rathalos Felyno	otomo/equip/ot016/helm
0	Helmet	17	Elmo de Diablos Felyno	otomo/equip/ot017/helm
0	Helmet	18	Chifre de Kirin Felyno	otomo/equip/ot018/helm
0	Helmet	27	Capelo Necrarma Felyno	otomo/equip/ot027/helm
0	Helmet	32	Chapéu de Couro Felyno<ICON ALPHA>	otomo/equip/ot001/helm
0	Helmet	33	Elmo Ósseo Felyno<ICON ALPHA>	otomo/equip/ot028/helm
0	Helmet	34	Elmo Liga Leve Felyno<ICON ALPHA>	otomo/equip/ot029/helm
0	Helmet	35	Elmo de Jagras Felyno<ICON ALPHA>	otomo/equip/ot002/helm
0	Helmet	36	Turbante Kulu Felyno<ICON ALPHA>	otomo/equip/ot003/helm
0	Helmet	37	Capelo Pukei Felyno<ICON ALPHA>	otomo/equip/ot004/helm
0	Helmet	38	Elmo de Barroth Felyno<ICON ALPHA>	otomo/equip/ot005/helm
0	Helmet	39	Elmo de Jyura Felyno<ICON ALPHA>	otomo/equip/ot006/helm
0	Helmet	40	Capelo Kadachi Felyno<ICON ALPHA>	otomo/equip/ot007/helm
0	Helmet	19	Coroa de Zorah Felyna<ICON ALPHA>	otomo/equip/ot019/helm
0	Helmet	41	Elmo de Anja Felyno<ICON ALPHA>	otomo/equip/ot008/helm
0	Helmet	42	Chapéu de Lumu Felyno<ICON ALPHA>	otomo/equip/ot011/helm
0	Helmet	43	Elmo Rathian Felyno<ICON ALPHA>	otomo/equip/ot009/helm
0	Helmet	44	Elmo de Baan Felyno<ICON ALPHA>	otomo/equip/ot013/helm
0	Helmet	45	Touca Joaninha Felyna<ICON ALPHA>	otomo/equip/ot030/helm
0	Helmet	46	Elmo de Legiana Felyno<ICON ALPHA>	otomo/equip/ot012/helm
0	Helmet	47	Elmo Odogaron Felyno<ICON ALPHA>	otomo/equip/ot014/helm
0	Helmet	48	Elmo Rathalos Felyno<ICON ALPHA>	otomo/equip/ot016/helm
