Equip Type ID	Equip Type	Equip ID	Equip Name	File Path
0	Helmet	1	レザーネコヘッド	otomo/equip/ot001/helm
0	Helmet	28	ボーンネコヘルム	otomo/equip/ot028/helm
0	Helmet	29	アロイネコヘルム	otomo/equip/ot029/helm
0	Helmet	2	ジャグネコヘルム	otomo/equip/ot002/helm
0	Helmet	3	クルルネコターバン	otomo/equip/ot003/helm
0	Helmet	4	プケプケネコフード	otomo/equip/ot004/helm
0	Helmet	5	ボロスネコヘルム	otomo/equip/ot005/helm
0	Helmet	6	ジュラネコヘルム	otomo/equip/ot006/helm
0	Helmet	7	カガチネコフード	otomo/equip/ot007/helm
0	Helmet	8	ジャナフネコヘルム	otomo/equip/ot008/helm
0	Helmet	11	ウルムーネコヘルム	otomo/equip/ot011/helm
0	Helmet	9	レイアネコヘルム	otomo/equip/ot009/helm
0	Helmet	13	バルキンネコメット	otomo/equip/ot013/helm
0	Helmet	30	ヤツホシネコテスタ	otomo/equip/ot030/helm
0	Helmet	12	ギエナネコヘルム	otomo/equip/ot012/helm
0	Helmet	14	ガロンネコヘルム	otomo/equip/ot014/helm
0	Helmet	16	レウスネコヘルム	otomo/equip/ot016/helm
0	Helmet	17	ディアネコヘルム	otomo/equip/ot017/helm
0	Helmet	18	キリンネコホーン	otomo/equip/ot018/helm
0	Helmet	27	デスギアネコフード	otomo/equip/ot027/helm
0	Helmet	32	レザーネコヘッドα	otomo/equip/ot001/helm
0	Helmet	33	ボーンネコヘルムα	otomo/equip/ot028/helm
0	Helmet	34	アロイネコヘルムα	otomo/equip/ot029/helm
0	Helmet	35	ジャグネコヘルムα	otomo/equip/ot002/helm
0	Helmet	36	クルルネコターバンα	otomo/equip/ot003/helm
0	Helmet	37	プケプケネコフードα	otomo/equip/ot004/helm
0	Helmet	38	ボロスネコヘルムα	otomo/equip/ot005/helm
0	Helmet	39	ジュラネコヘルムα	otomo/equip/ot006/helm
0	Helmet	40	カガチネコフードα	otomo/equip/ot007/helm
0	Helmet	19	マグナネコクラウンα	otomo/equip/ot019/helm
0	Helmet	41	ジャナフネコヘルムα	otomo/equip/ot008/helm
0	Helmet	42	ウルムーネコヘルムα	otomo/equip/ot011/helm
0	Helmet	43	レイアネコヘルムα	otomo/equip/ot009/helm
0	Helmet	44	バルキンネコメットα	otomo/equip/ot013/helm
0	Helmet	45	ヤツホシネコテスタα	otomo/equip/ot030/helm
0	Helmet	46	ギエナネコヘルムα	otomo/equip/ot012/helm
0	Helmet	47	ガロンネコヘルムα	otomo/equip/ot014/helm
0	Helmet	48	レウスネコヘルムα	otomo/equip/ot016/helm
